12:40:36.149481 config: drop-rate=0.00, max-delay=0s, seed=1554223236149334000
16:39:07.778619 [queue=0] packet #0, 127.0.0.1:56332 -> 127.0.0.1:8007, sz=0 is delivered
16:39:07.778854 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:56332, sz=0 is delivered
16:39:07.779409 [queue=0] packet #100000, 127.0.0.1:56332 -> 127.0.0.1:8007, sz=67 is delivered
16:39:07.779615 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:56332, sz=67 is delivered
17:32:14.755587 [queue=0] packet #0, 127.0.0.1:58902 -> 127.0.0.1:8007, sz=0 is delivered
17:32:19.761745 [queue=0] packet #100000, 127.0.0.1:58902 -> 127.0.0.1:8007, sz=67 is delivered
17:33:03.237645 [queue=0] packet #0, 127.0.0.1:65298 -> 127.0.0.1:8007, sz=0 is delivered
17:33:03.237994 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:8007, sz=1 is delivered
17:33:08.242334 [queue=0] packet #100000, 127.0.0.1:65298 -> 127.0.0.1:8007, sz=67 is delivered
17:35:41.032638 [queue=0] packet #0, 127.0.0.1:60344 -> 127.0.0.1:8007, sz=0 is delivered
17:35:41.032994 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:8007, sz=1 is delivered
17:35:46.034289 [queue=0] packet #100000, 127.0.0.1:60344 -> 127.0.0.1:8007, sz=67 is delivered
17:42:47.478605 [queue=0] packet #0, 127.0.0.1:59482 -> 127.0.0.1:8007, sz=0 is delivered
17:42:47.478920 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:8007, sz=1 is delivered
17:42:52.483755 [queue=0] packet #100000, 127.0.0.1:59482 -> 127.0.0.1:8007, sz=67 is delivered
17:47:46.960340 [queue=0] packet #0, 127.0.0.1:59687 -> 127.0.0.1:8007, sz=0 is delivered
17:47:46.960709 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:8007, sz=1 is delivered
17:47:51.962292 [queue=0] packet #100000, 127.0.0.1:59687 -> 127.0.0.1:8007, sz=67 is delivered
17:49:29.750187 [queue=0] packet #0, 127.0.0.1:50179 -> 127.0.0.1:8007, sz=0 is delivered
17:49:29.750611 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:8007, sz=1 is delivered
17:49:34.751764 [queue=0] packet #100000, 127.0.0.1:50179 -> 127.0.0.1:8007, sz=67 is delivered
17:51:27.173276 [queue=0] packet #0, 127.0.0.1:54622 -> 127.0.0.1:8007, sz=0 is delivered
17:51:27.173620 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:54622, sz=1 is delivered
17:51:27.174322 [queue=0] packet #2, 127.0.0.1:54622 -> 127.0.0.1:8007, sz=1 is delivered
17:51:27.174723 [queue=0] packet #100000, 127.0.0.1:54622 -> 127.0.0.1:8007, sz=67 is delivered
17:51:27.175072 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:54622, sz=67 is delivered
18:03:58.210584 [queue=0] packet #0, 127.0.0.1:65359 -> 127.0.0.1:8007, sz=0 is delivered
18:03:58.210828 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65359, sz=1 is delivered
18:03:58.211373 [queue=0] packet #2, 127.0.0.1:65359 -> 127.0.0.1:8007, sz=1 is delivered
18:03:58.211759 [queue=0] packet #100000, 127.0.0.1:65359 -> 127.0.0.1:8007, sz=67 is delivered
18:04:26.302352 [queue=0] packet #0, 127.0.0.1:60459 -> 127.0.0.1:8007, sz=0 is delivered
18:04:26.302609 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60459, sz=1 is delivered
18:04:26.303280 [queue=0] packet #2, 127.0.0.1:60459 -> 127.0.0.1:8007, sz=1 is delivered
18:04:26.303765 [queue=0] packet #100000, 127.0.0.1:60459 -> 127.0.0.1:8007, sz=67 is delivered
18:05:35.123924 [queue=0] packet #0, 127.0.0.1:50314 -> 127.0.0.1:8007, sz=0 is delivered
18:05:35.124227 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50314, sz=1 is delivered
18:05:35.124926 [queue=0] packet #2, 127.0.0.1:50314 -> 127.0.0.1:8007, sz=1 is delivered
18:05:35.125388 [queue=0] packet #100000, 127.0.0.1:50314 -> 127.0.0.1:8007, sz=67 is delivered
18:05:35.125637 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:50314, sz=67 is delivered
18:11:18.077952 [queue=0] packet #0, 127.0.0.1:50275 -> 127.0.0.1:8007, sz=0 is delivered
18:11:18.078252 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50275, sz=1 is delivered
18:11:18.078825 [queue=0] packet #2, 127.0.0.1:50275 -> 127.0.0.1:8007, sz=1 is delivered
18:11:18.079213 [queue=0] packet #100000, 127.0.0.1:50275 -> 127.0.0.1:8007, sz=67 is delivered
18:11:18.079454 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:50275, sz=67 is delivered
18:12:56.137860 [queue=0] packet #0, 127.0.0.1:51272 -> 127.0.0.1:8007, sz=0 is delivered
18:12:56.138316 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51272, sz=1 is delivered
18:12:56.139090 [queue=0] packet #2, 127.0.0.1:51272 -> 127.0.0.1:8007, sz=1 is delivered
18:12:56.139531 [queue=0] packet #100000, 127.0.0.1:51272 -> 127.0.0.1:8007, sz=67 is delivered
18:12:56.139801 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:51272, sz=67 is delivered
18:13:56.052086 [queue=0] packet #0, 127.0.0.1:51981 -> 127.0.0.1:8007, sz=0 is delivered
18:13:56.052423 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51981, sz=1 is delivered
18:13:56.053018 [queue=0] packet #2, 127.0.0.1:51981 -> 127.0.0.1:8007, sz=1 is delivered
18:13:56.053377 [queue=0] packet #100000, 127.0.0.1:51981 -> 127.0.0.1:8007, sz=67 is delivered
18:13:56.053613 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:51981, sz=67 is delivered
17:28:17.463292 [queue=0] packet #0, 127.0.0.1:56886 -> 127.0.0.1:8007, sz=0 is delivered
